Iteration,Makespan_ms
1,147.00
2,204.00
3,196.00
4,155.00
5,269.00
6,147.00
7,152.00
8,150.00
9,151.00
10,147.00
11,155.00
12,146.00
13,163.00
14,147.00
15,144.00
16,149.00
17,140.00
18,184.00
19,247.00
20,145.00
21,228.00
22,256.00
23,159.00
24,170.00
25,152.00
26,164.00
27,165.00
28,158.00
29,184.00
30,165.00
31,187.00
32,233.00
33,166.00
34,150.00
35,217.00
36,170.00
37,278.00
38,146.00
39,179.00
40,155.00
41,153.00
42,195.00
43,160.00
44,190.00
45,180.00
46,164.00
47,200.00
48,220.00
49,152.00
50,250.00
51,212.00
52,201.00
53,209.00
54,184.00
55,158.00
56,193.00
57,245.00
58,159.00
59,156.00
60,186.00
61,151.00
62,142.00
63,166.00
64,154.00
65,148.00
66,143.00
67,154.00
68,149.00
69,153.00
70,153.00
71,147.00
72,148.00
73,157.00
74,149.00
75,146.00
76,162.00
77,157.00
78,147.00
79,151.00
80,148.00
81,157.00
82,146.00
83,150.00
84,182.00
85,159.00
86,149.00
87,152.00
88,169.00
89,248.00
90,149.00
91,164.00
92,200.00
93,153.00
94,167.00
95,154.00
96,157.00
97,147.00
98,153.00
99,149.00
100,153.00
101,239.00
102,154.00
103,144.00
104,158.00
105,151.00
106,156.00
107,150.00
108,152.00
109,149.00
110,252.00
111,147.00
112,151.00
113,150.00
114,154.00
115,154.00
116,154.00
117,153.00
118,146.00
119,238.00
120,152.00
121,164.00
122,207.00
123,152.00
124,149.00
125,150.00
126,162.00
127,149.00
128,150.00
129,171.00
130,146.00
131,148.00
132,162.00
133,142.00
134,153.00
135,295.00
136,152.00
137,152.00
138,152.00
139,158.00
140,144.00
141,154.00
142,151.00
143,153.00
144,149.00
145,156.00
146,157.00
147,153.00
148,147.00
149,157.00
150,168.00
151,155.00
152,161.00
153,156.00
154,173.00
155,185.00
156,160.00
157,165.00
158,152.00
159,156.00
160,158.00
161,164.00
162,164.00
163,153.00
164,156.00
165,165.00
166,170.00
167,154.00
168,157.00
169,154.00
170,156.00
171,161.00
172,162.00
173,153.00
174,159.00
175,163.00
176,156.00
177,154.00
178,154.00
179,156.00
180,167.00
181,168.00
182,157.00
183,158.00
184,163.00
185,159.00
186,164.00
187,159.00
188,160.00
189,164.00
190,154.00
191,153.00
192,158.00
193,160.00
194,180.00
195,162.00
196,161.00
197,155.00
198,161.00
199,156.00
200,156.00
201,165.00
202,162.00
203,159.00
204,159.00
205,162.00
206,170.00
207,155.00
208,159.00
209,159.00
210,153.00
211,169.00
212,168.00
213,155.00
214,157.00
215,154.00
216,158.00
217,155.00
218,168.00
219,158.00
220,160.00
221,158.00
222,159.00
223,155.00
224,152.00
225,162.00
226,159.00
227,165.00
228,157.00
229,165.00
230,175.00
231,157.00
232,157.00
233,164.00
234,155.00
235,168.00
236,159.00
237,163.00
238,155.00
239,165.00
240,155.00
241,161.00
242,161.00
243,153.00
244,158.00
245,158.00
246,164.00
247,157.00
248,156.00
249,159.00
250,163.00
251,158.00
252,155.00
253,169.00
254,162.00
255,161.00
256,165.00
257,166.00
258,167.00
259,156.00
260,159.00
261,165.00
262,159.00
263,162.00
264,157.00
265,163.00
266,155.00
267,162.00
268,171.00
269,159.00
270,159.00
271,162.00
272,226.00
273,159.00
274,166.00
275,167.00
276,155.00
277,159.00
278,157.00
279,167.00
280,154.00
281,162.00
282,155.00
283,161.00
284,160.00
285,182.00
286,208.00
287,155.00
288,159.00
289,166.00
290,162.00
291,156.00
292,162.00
293,156.00
294,157.00
295,156.00
296,155.00
297,159.00
298,162.00
299,158.00
300,150.00
301,157.00
302,160.00
303,168.00
304,167.00
305,161.00
306,156.00
307,160.00
308,160.00
309,161.00
310,212.00
311,163.00
312,155.00
313,156.00
314,166.00
315,160.00
316,166.00
317,155.00
318,157.00
319,154.00
320,155.00
321,158.00
322,161.00
323,158.00
324,163.00
325,154.00
326,161.00
327,154.00
328,161.00
329,160.00
330,162.00
331,159.00
332,170.00
333,163.00
334,159.00
335,160.00
336,161.00
337,158.00
338,160.00
339,164.00
340,153.00
341,156.00
342,158.00
343,158.00
344,162.00
345,162.00
346,161.00
347,160.00
348,154.00
349,161.00
350,165.00
351,163.00
352,158.00
353,165.00
354,165.00
355,159.00
356,170.00
357,162.00
358,159.00
359,161.00
360,154.00
361,159.00
362,159.00
363,151.00
364,157.00
365,156.00
366,155.00
367,155.00
368,189.00
369,157.00
370,160.00
371,162.00
372,161.00
373,155.00
374,165.00
375,162.00
376,157.00
377,158.00
378,157.00
379,154.00
380,156.00
381,159.00
382,158.00
383,157.00
384,154.00
385,157.00
386,167.00
387,163.00
388,158.00
389,163.00
390,162.00
391,163.00
392,152.00
393,157.00
394,156.00
395,159.00
396,246.00
397,151.00
398,158.00
399,159.00
400,158.00
401,158.00
402,160.00
403,160.00
404,158.00
405,157.00
406,153.00
407,157.00
408,158.00
409,174.00
410,163.00
411,154.00
412,156.00
413,161.00
414,164.00
415,163.00
416,160.00
417,153.00
418,160.00
419,160.00
420,181.00
421,165.00
422,157.00
423,185.00
424,160.00
425,158.00
426,227.00
427,166.00
428,166.00
429,150.00
430,180.00
431,165.00
432,158.00
433,159.00
434,168.00
435,163.00
436,158.00
437,155.00
438,173.00
439,155.00
440,152.00
441,165.00
442,158.00
443,158.00
444,176.00
445,156.00
446,153.00
447,153.00
448,156.00
449,161.00
450,151.00
451,158.00
452,243.00
453,154.00
454,147.00
455,175.00
456,148.00
457,162.00
458,221.00
459,143.00
460,151.00
461,142.00
462,182.00
463,146.00
464,153.00
465,256.00
466,153.00
467,144.00
468,152.00
469,153.00
470,147.00
471,312.00
472,155.00
473,205.00
474,189.00
475,151.00
476,141.00
477,161.00
478,146.00
479,158.00
480,179.00
481,174.00
482,153.00
483,145.00
484,144.00
485,148.00
486,184.00
487,211.00
488,166.00
489,159.00
490,152.00
491,153.00
492,153.00
493,160.00
494,154.00
495,148.00
496,160.00
497,414.00
498,147.00
499,172.00
500,154.00
501,149.00
502,151.00
503,151.00
504,150.00
505,151.00
506,147.00
507,149.00
508,150.00
509,153.00
510,144.00
511,153.00
512,152.00
513,150.00
514,150.00
515,154.00
516,151.00
517,152.00
518,150.00
519,155.00
520,154.00
521,163.00
522,165.00
523,152.00
524,159.00
525,161.00
526,151.00
527,147.00
528,154.00
529,157.00
530,160.00
531,153.00
532,154.00
533,158.00
534,160.00
535,153.00
536,156.00
537,155.00
538,146.00
539,151.00
540,152.00
541,159.00
542,155.00
543,152.00
544,158.00
545,158.00
546,156.00
547,152.00
548,151.00
549,153.00
550,153.00
551,154.00
552,150.00
553,143.00
554,145.00
555,159.00
556,158.00
557,153.00
558,160.00
559,159.00
560,158.00
561,290.00
562,161.00
563,161.00
564,161.00
565,160.00
566,163.00
567,163.00
568,160.00
569,153.00
570,157.00
571,165.00
572,155.00
573,162.00
574,152.00
575,160.00
576,156.00
577,150.00
578,159.00
579,155.00
580,174.00
581,162.00
582,161.00
583,162.00
584,162.00
585,163.00
586,163.00
587,158.00
588,154.00
589,164.00
590,161.00
591,156.00
592,160.00
593,160.00
594,166.00
595,171.00
596,164.00
597,156.00
598,160.00
599,156.00
600,151.00
601,157.00
602,200.00
603,167.00
604,161.00
605,234.00
606,168.00
607,155.00
